Event,Script,Episode,Action,Rules it predates,Anchor,Why this anchor,Words,Est min,Rendered min,Drift,Gate,Shape,Voices,Cold open (what it refuses),Chapters,Listen,Page,Slug
The Congo Free State,written,rendered,OVER 15 min (15.46),"H11-2nd,inst-voice",bm_lewis,catastrophic genocide: the gravest voice,1959,14.52,15.46,0.94,clean,"4 scenes, 7 rests, 5 docs, 5 accounts",F+M+N,"You think of a colony as a country's project: a budget line, a cabinet answering to a parliament back home. The Congo Free State was none of that. It answered to no...",13,https://news.voidvision.org/audio/history/congo-free-state.mp3,https://news.voidvision.org/history/congo-free-state/,congo-free-state
The Creation of Israel and the Nakba,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic independence: the gravest voice,1984,14.69,14.57,-0.12,warn H-10; warn H-10; warn H-10; warn H-10; warn H-10; warn H-10,"4 scenes, 5 rests, 2 docs, 5 accounts",M+N,"At four in the afternoon on the fourteenth of May, nineteen forty eight, a man read a declaration aloud in a museum in Tel Aviv. Eleven minutes later the United States...",13,https://news.voidvision.org/audio/history/creation-of-israel-nakba.mp3,https://news.voidvision.org/history/creation-of-israel-nakba/,creation-of-israel-nakba
The Crusades,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,critical war,1848,14.3,14.02,-0.28,warn H-10; warn H-10; warn H-10,"5 scenes, 6 rests, 3 docs, 5 accounts",M+N,"The Fourth Crusade never reached Jerusalem. It never even turned south. In twelve hundred and four it sacked Constantinople, the largest Christian city in the world, and...",14,https://news.voidvision.org/audio/history/the-crusades.mp3,https://news.voidvision.org/history/the-crusades/,the-crusades
The Cuban Missile Crisis,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_george,critical political: mid weight,1741,13.11,13.09,-0.02,warn H-10; warn H-10; warn H-10; warn H-10,"4 scenes, 5 rests, 1 docs, 5 accounts",M+N,"The story as it is usually told happens in two rooms. A cabinet room in Washington and an office in Moscow, thirteen days, two men, and a blink. The moment that came...",13,https://news.voidvision.org/audio/history/cuban-missile-crisis.mp3,https://news.voidvision.org/history/cuban-missile-crisis/,cuban-missile-crisis
The Cuban Revolution,written,rendered,,inst-voice,bm_george,major revolution: mid weight,1763,13.26,14.33,1.07,clean,"5 scenes, 7 rests, 2 docs, 5 accounts",F+M+N,"The ending, first: guerrillas marching into Havana, the dictator's palace empty, a revolution won by force of arms. The record says the capital fell without a single...",14,https://news.voidvision.org/audio/history/cuban-revolution.mp3,https://news.voidvision.org/history/cuban-revolution/,cuban-revolution
The Fall of Constantinople,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic political: dark, but not funereal",1884,14.56,14.85,0.29,clean,"5 scenes, 6 rests, 3 docs, 5 accounts",M+N,"Ottoman cannon fired at the Theodosian Walls of Constantinople for fifty three days straight, walls that had turned back every siege for a thousand years, and the walls...",14,https://news.voidvision.org/audio/history/fall-of-constantinople.mp3,https://news.voidvision.org/history/fall-of-constantinople/,fall-of-constantinople
The Fall of Tenochtitlan,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic empire: dark, but not funereal",1862,14.4,13.79,-0.61,clean,"5 scenes, 5 rests, 3 docs, 5 accounts",M+N,"Five hundred Spaniards took an empire of millions. That is the sentence, and it has never added up. At the siege that ended it, the Spanish force was maybe nine hundred...",14,https://news.voidvision.org/audio/history/fall-of-tenochtitlan.mp3,https://news.voidvision.org/history/fall-of-tenochtitlan/,fall-of-tenochtitlan
The Fall of the Berlin Wall,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_george,critical revolution: mid weight,1557,11.84,11.71,-0.13,warn H-10,"4 scenes, 6 rests, 3 docs, 5 accounts",M+N,"Nobody decided to open it. There was no vote, no order, and no moment where a government concluded that the time had come. What there was, on the evening of the ninth of...",13,https://news.voidvision.org/audio/history/fall-of-berlin-wall.mp3,https://news.voidvision.org/history/fall-of-berlin-wall/,fall-of-berlin-wall
The French Revolution,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic revolution: dark, but not funereal",1601,12.54,12.24,-0.3,warn H-10; warn H-10,"4 scenes, 5 rests, 4 docs, 5 accounts",F+M+N,"The founding act of the French revolution was the storming of a fortress that held seven prisoners. Four forgers, two men who were insane, and one young aristocrat whose...",13,https://news.voidvision.org/audio/history/french-revolution.mp3,https://news.voidvision.org/history/french-revolution/,french-revolution
The Global Struggle for Women's Suffrage,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_daniel,cultural: warm and unhurried,1925,12.56,12.96,0.4,clean,"5 scenes, 7 rests, 3 docs, 5 accounts",F+N,"Picture the order these countries came in. You will probably get it backwards. The most powerful woman on earth, Queen Victoria, spent her whole reign fighting the idea...",14,https://news.voidvision.org/audio/history/womens-suffrage.mp3,https://news.voidvision.org/history/womens-suffrage/,womens-suffrage
The Great Depression,written,rendered,,"H11-2nd,unnamed,inst-voice",am_michael,"catastrophic economic: dark, but not funereal",1675,13.06,13.3,0.24,clean,"5 scenes, 4 rests, 2 docs, 5 accounts",F+M+N,"You think you know this one. The market crashed in October nineteen twenty nine, and that crash was the Great Depression. The record says otherwise. The crash was a...",14,https://news.voidvision.org/audio/history/great-depression.mp3,https://news.voidvision.org/history/great-depression/,great-depression
The Great Leap Forward and the Great Chinese Famine,written,rendered,,inst-voice,bm_lewis,catastrophic disaster: the gravest voice,1751,13.09,13.25,0.16,clean,"5 scenes, 5 rests, 3 docs, 5 accounts",F+M+N,"You think this began with a bad harvest. It began with a steel target. In May of nineteen fifty eight, Mao Zedong told the party that China would overtake Britain in...",14,https://news.voidvision.org/audio/history/great-leap-forward.mp3,https://news.voidvision.org/history/great-leap-forward/,great-leap-forward
The Gutenberg Revolution,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_daniel,cultural: warm and unhurried,1833,12.01,11.68,-0.33,warn H-10,"4 scenes, 5 rests, 2 docs, 5 accounts",M+N,Two things about the man whose name is on this. He did not invent printing. Chinese printers had been working from carved blocks since the ninth century. A man called Bi...,13,https://news.voidvision.org/audio/history/gutenberg-printing-press.mp3,https://news.voidvision.org/history/gutenberg-printing-press/,gutenberg-printing-press
The Haitian Revolution,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_george,critical revolution: mid weight,1526,11.62,12.1,0.48,warn H-10,"4 scenes, 6 rests, 3 docs, 5 accounts",M+N,"There has been one successful slave revolution in recorded history. Not one that won concessions. One that took the colony, beat three European armies, and founded a...",13,https://news.voidvision.org/audio/history/haitian-revolution.mp3,https://news.voidvision.org/history/haitian-revolution/,haitian-revolution
The Holocaust,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic genocide: the gravest voice,1997,14.78,14.52,-0.26,warn H-10; warn H-10; warn H-10,"4 scenes, 6 rests, 1 docs, 5 accounts",M+N,"The thing most people get wrong about this is not whether it happened. It is how. The picture in most heads is a secret, improvised in the dark by a small number of...",13,https://news.voidvision.org/audio/history/the-holocaust.mp3,https://news.voidvision.org/history/the-holocaust/,the-holocaust
The Holodomor,written,rendered,,inst-voice,bm_lewis,catastrophic genocide: the gravest voice,1921,14.26,14.54,0.28,clean,"4 scenes, 6 rests, 2 docs, 5 accounts",F+M+N,"You think of this as a famine, meaning there was not enough food. There was food. The nineteen thirty two Ukrainian harvest came in at fourteen point six million tons,...",13,https://news.voidvision.org/audio/history/holodomor.mp3,https://news.voidvision.org/history/holodomor/,holodomor
The Indian Independence Movement,written,rendered,OVER 15 min (15.36),"H11-2nd,unnamed,inst-voice",am_michael,critical independence,1849,14.31,15.36,1.05,clean,"8 scenes, 8 rests, 4 docs, 5 accounts",M+N,"You think you know how this one ends. A lawyer put down his suit, wrapped himself in homespun cloth, and walked to the sea to pick up salt. An empire cracked. That part...",17,https://news.voidvision.org/audio/history/indian-independence-movement.mp3,https://news.voidvision.org/history/indian-independence-movement/,indian-independence-movement
The Industrial Revolution,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic economic: dark, but not funereal",1911,14.75,14.62,-0.13,clean,"4 scenes, 4 rests, 1 docs, 5 accounts",F+M+N,"Most people picture the industrial revolution as a machine born in Britain, ahead of the world already. In seventeen fifty that picture is backwards. Britain produced...",13,https://news.voidvision.org/audio/history/industrial-revolution.mp3,https://news.voidvision.org/history/industrial-revolution/,industrial-revolution
The Iranian Revolution,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic revolution: dark, but not funereal",1672,13.04,12.78,-0.26,clean,"4 scenes, 5 rests, 2 docs, 5 accounts",M+N,"It started with a newspaper article. One smear piece, about a cleric almost nobody under thirty could remember, placed in a state paper on the order of a government...",13,https://news.voidvision.org/audio/history/iranian-revolution.mp3,https://news.voidvision.org/history/iranian-revolution/,iranian-revolution
The Korean War,written,rendered,,inst-voice,bm_lewis,catastrophic war: the gravest voice,1949,14.45,14.73,0.28,clean,"5 scenes, 6 rests, 3 docs, 5 accounts",F+M+N,"You think this war ended. July the twenty seventh, nineteen fifty three. An armistice. The guns went quiet. Look at who signed it. A United States Army general, for the...",14,https://news.voidvision.org/audio/history/korean-war.mp3,https://news.voidvision.org/history/korean-war/,korean-war
The Mali Empire and Mansa Musa's Pilgrimage,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_george,major empire: mid weight,1919,14.33,14.15,-0.18,warn H-10,"4 scenes, 6 rests, 2 docs, 5 accounts",M+N,"In twenty twelve a website published a list of the richest people who have ever lived, and put a fourteenth century West African king at the top of it with a figure of...",13,https://news.voidvision.org/audio/history/mali-empire-mansa-musa.mp3,https://news.voidvision.org/history/mali-empire-mansa-musa/,mali-empire-mansa-musa
The Meiji Restoration,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_george,major revolution: mid weight,1853,13.88,14.71,0.83,clean,"5 scenes, 6 rests, 4 docs, 5 accounts",M+N,"The movement that opened Japan to the world took power on a promise to throw the world out. Its slogan was sonno joi. Revere the Emperor, Expel the Barbarians. That...",14,https://news.voidvision.org/audio/history/meiji-restoration.mp3,https://news.voidvision.org/history/meiji-restoration/,meiji-restoration
The Mongol Empire,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic empire: dark, but not funereal",1690,13.17,13.14,-0.03,clean,"5 scenes, 7 rests, 2 docs, 5 accounts",M+N,"Think of one man, Genghis Khan, riding out of the steppe and putting all of Eurasia to the sword. The gates of Vienna. The House of Wisdom in Baghdad. The Yangtze river....",14,https://news.voidvision.org/audio/history/mongol-empire.mp3,https://news.voidvision.org/history/mongol-empire/,mongol-empire
The Nanjing Massacre,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic genocide: the gravest voice,1826,13.61,13.5,-0.11,clean,"4 scenes, 9 rests, 2 docs, 5 accounts",F+M+N,"Picture Nanjing as a battle. A defending army meets an invading one, the defenders lose, and what follows is the massacre. That is not what happened. Days before...",13,https://news.voidvision.org/audio/history/nanjing-massacre.mp3,https://news.voidvision.org/history/nanjing-massacre/,nanjing-massacre
The Opium Wars,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,critical war,1704,13.27,13.4,0.13,clean,"4 scenes, 6 rests, 3 docs, 5 accounts",M+N,"You call these the Opium Wars. The country that fought them never did. Forty four warships and four thousand troops sailed for China, and the government that sent them...",13,https://news.voidvision.org/audio/history/opium-wars.mp3,https://news.voidvision.org/history/opium-wars/,opium-wars
The Partition of India,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic independence: the gravest voice,1904,14.14,14.03,-0.11,clean,"6 scenes, 5 rests, 4 docs, 5 accounts",F+M+N,"There is a border in South Asia that two nuclear armed states have fought four wars across, and are still contesting today. You would assume a line like that was drawn...",15,https://news.voidvision.org/audio/history/partition-of-india.mp3,https://news.voidvision.org/history/partition-of-india/,partition-of-india
The Protestant Reformation,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic cultural: dark, but not funereal",1694,13.2,13.29,0.09,clean,"5 scenes, 8 rests, 3 docs, 5 accounts",F+M+N,"The most famous sentence Martin Luther ever spoke, he did not speak. Here I stand, I can do no other. That line is not recorded on the spot at the Diet of Worms. It was...",14,https://news.voidvision.org/audio/history/the-reformation.mp3,https://news.voidvision.org/history/the-reformation/,the-reformation
The Rise of Islam,written,rendered,OVER 15 min (15.43),"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic political: dark, but not funereal",1937,14.94,15.43,0.49,clean,"6 scenes, 7 rests, 3 docs, 5 accounts",M+N,"Ask when Islam began and most people will say six hundred ten, the night a merchant saw an angel in a cave outside Mecca. The people who wrote the calendar disagreed....",15,https://news.voidvision.org/audio/history/rise-of-islam.mp3,https://news.voidvision.org/history/rise-of-islam/,rise-of-islam
The Russian Revolution,written,rendered,OVER 15 min (15.37),"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic revolution: dark, but not funereal",1886,14.57,15.37,0.8,clean,"5 scenes, 6 rests, 4 docs, 5 accounts",F+M+N,"You have seen the storming of the Winter Palace. Soldiers pouring over the gates, rifles raised, a fortress taken by force. That footage is real film, shot in nineteen...",14,https://news.voidvision.org/audio/history/russian-revolution.mp3,https://news.voidvision.org/history/russian-revolution/,russian-revolution
The Rwandan Genocide,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic genocide: the gravest voice,1739,13.01,12.59,-0.42,warn H-10,"3 scenes, 5 rests, 2 docs, 5 accounts",F+M+N,"The word used at the time, in newsrooms and in foreign ministries, was tribal. Ancient hatreds. Something that had welled up and would burn itself out. Here is what the...",12,https://news.voidvision.org/audio/history/rwandan-genocide.mp3,https://news.voidvision.org/history/rwandan-genocide/,rwandan-genocide
The Scramble for Africa,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic empire: dark, but not funereal",1633,12.76,12.85,0.09,clean,"3 scenes, 6 rests, 3 docs, 5 accounts",F+M+N,"Most people picture the moment they mean by the Scramble for Africa. Fourteen nations leaning over a map in Berlin, dividing a continent with a ruler and a pen. That...",12,https://news.voidvision.org/audio/history/scramble-for-africa.mp3,https://news.voidvision.org/history/scramble-for-africa/,scramble-for-africa
The Silk Road,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_george,major economic: mid weight,1801,13.52,13.17,-0.35,warn H-10; warn H-10; warn H-10,"3 scenes, 4 rests, 3 docs, 5 accounts",M+N,"Two things about the name. It was invented in eighteen seventy seven, by a German geographer, about four hundred years after the thing it describes had stopped working....",12,https://news.voidvision.org/audio/history/silk-road.mp3,https://news.voidvision.org/history/silk-road/,silk-road
The Trail of Tears,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic political: dark, but not funereal",1689,13.16,13.72,0.56,clean,"5 scenes, 6 rests, 2 docs, 5 accounts",M+N,"Most people think the Cherokee lost this fight in court. They had the strongest case in the history of federal Indian law, and they won it. In eighteen thirty two, in...",14,https://news.voidvision.org/audio/history/trail-of-tears.mp3,https://news.voidvision.org/history/trail-of-tears/,trail-of-tears
The Transatlantic Slave Trade,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic economic: dark, but not funereal",1902,14.69,14.3,-0.39,warn H-10; warn H-10; warn H-10; warn H-10; warn H-10,"4 scenes, 6 rests, 1 docs, 5 accounts",M+N,Most of it did not happen where you think it happened. Twelve and a half million people were put on ships in Africa. Ten point seven million came off them alive in the...,13,https://news.voidvision.org/audio/history/transatlantic-slave-trade.mp3,https://news.voidvision.org/history/transatlantic-slave-trade/,transatlantic-slave-trade
The Vietnam War,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic war: the gravest voice,1727,12.93,13.48,0.55,clean,"5 scenes, 6 rests, 4 docs, 5 accounts",M+N,Congress authorized this war five hundred and four votes to two. What it was voting on was a second attack on an American destroyer in the Gulf of Tonkin. The first...,14,https://news.voidvision.org/audio/history/vietnam-war.mp3,https://news.voidvision.org/history/vietnam-war/,vietnam-war
"Tiananmen Square, 1989",written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_george,critical revolution: mid weight,1724,12.99,13.06,0.07,clean,"5 scenes, 5 rests, 3 docs, 5 accounts",F+M+N,"The massacre did not happen in Tiananmen Square. Every year the world uses that name for the third and fourth of June, nineteen eighty nine, and every year the record...",14,https://news.voidvision.org/audio/history/tiananmen-square.mp3,https://news.voidvision.org/history/tiananmen-square/,tiananmen-square
World War I,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic war: the gravest voice,1799,13.42,13.91,0.49,clean,"5 scenes, 7 rests, 3 docs, 5 accounts",M+N,"Gavrilo Princip was nineteen, and he had already missed his chance once that day. Another conspirator's bomb had bounced off the Archduke's car earlier and wounded...",14,https://news.voidvision.org/audio/history/world-war-i.mp3,https://news.voidvision.org/history/world-war-i/,world-war-i
September 11 and the War on Terror,written,queued,render,"H11-2nd,inst-voice",bm_lewis,catastrophic war: the gravest voice,1961,14.53,,,clean,"7 scenes, 5 rests, 3 docs, 5 accounts",F+M+N,Two countries paid for what happened that morning. Neither one attacked it. Fifteen of the nineteen hijackers were Saudi citizens. None were Iraqi. None were Afghan....,,,https://news.voidvision.org/history/september-11-attacks/,september-11-attacks
The Arab Spring,written,queued,render,inst-voice,am_michael,"catastrophic revolution: dark, but not funereal",1789,13.88,,,clean,"5 scenes, 6 rests, 4 docs, 5 accounts",F+M+N,"You think you know how this one starts. A vendor sets himself on fire to protest a dictatorship, and the dictatorship falls. That is not quite what happened. Mohamed...",,,https://news.voidvision.org/history/arab-spring/,arab-spring
The Chinese Cultural Revolution,written,queued,render,,am_michael,"catastrophic political: dark, but not funereal",1786,13.86,,,clean,"5 scenes, 6 rests, 3 docs, 5 accounts",F+M+N,"You think this was children rising up against their elders. On August the fifth, nineteen sixty six, the Chairman of the Chinese Communist Party wrote four words in a...",,,https://news.voidvision.org/history/chinese-cultural-revolution/,chinese-cultural-revolution
The Collapse of the Soviet Union,written,queued,render,inst-voice,bm_george,critical revolution: mid weight,1758,13.22,,,clean,"4 scenes, 6 rests, 3 docs, 5 accounts",F+M+N,"A country of two hundred and ninety million people, spanning eleven time zones and one sixth of the planet's land surface, from Brest to the Bering Strait, did not end...",,,https://news.voidvision.org/history/soviet-union-collapse/,soviet-union-collapse
The Inca Empire and the Spanish Conquest,written,queued,render,inst-voice,am_michael,"catastrophic political: dark, but not funereal",1780,13.81,,,clean,"6 scenes, 6 rests, 3 docs, 5 accounts",F+M+N,"Ask how the Inca empire fell and most people describe a trick: an emperor captured, a ransom demanded, a room filled with gold. The ransom was paid. Not partly, in full:...",,,https://news.voidvision.org/history/inca-conquest-peru/,inca-conquest-peru
The Mongol Conquest of Baghdad,written,queued,render,inst-voice,bm_lewis,catastrophic war: the gravest voice,1811,13.5,,,clean,"5 scenes, 6 rests, 4 docs, 5 accounts",M+N,"You think you know this one. Mongol riders swept out of the steppe and destroyed the capital of the Islamic world, alone. The force that surrounded Baghdad's walls in...",,,https://news.voidvision.org/history/mongol-conquest-baghdad/,mongol-conquest-baghdad
The Ottoman Empire,written,queued,render,inst-voice,am_michael,"catastrophic political: dark, but not funereal",1912,14.76,,,clean,"5 scenes, 7 rests, 2 docs, 5 accounts",F+M+N,"Say the Ottoman Empire and you probably think of Turks ruling for Turks. For long stretches of six centuries, the men actually running the empire were not born Turkish,...",,,https://news.voidvision.org/history/ottoman-empire/,ottoman-empire
The Peloponnesian War,written,queued,render,inst-voice,bm_george,major war: mid weight,1979,14.75,,,clean,"7 scenes, 7 rests, 2 docs, 5 accounts",M+N,"Say the Peloponnesian War and people picture two armies settling it with spears. Athens against Sparta, one winner left standing. The record does not show that. Sparta...",,,https://news.voidvision.org/history/peloponnesian-war/,peloponnesian-war
The Pentagon Papers and Watergate,written,queued,render,inst-voice,bm_george,major political: mid weight,1634,12.37,,,clean,"6 scenes, 8 rests, 3 docs, 5 accounts",F+M+N,"The story goes that two newspaper reporters brought down a president. The record disagrees. Its own institutional account credits grand juries, judges, a special...",,,https://news.voidvision.org/history/watergate/,watergate
The Six-Day War,written,queued,render,inst-voice,bm_lewis,catastrophic war: the gravest voice,1884,14.0,,,clean,"5 scenes, 6 rests, 3 docs, 5 accounts",F+M+N,"Call it the Six Day War and you picture six days of fighting. Tanks grinding across three fronts, cities changing hands, a war fought and refought in the field. At seven...",,,https://news.voidvision.org/history/six-day-war/,six-day-war
The Spanish Civil War,written,queued,render,,bm_lewis,catastrophic war: the gravest voice,1856,13.81,,,clean,"6 scenes, 7 rests, 6 docs, 5 accounts",F+M+N,"You know the postcard version. Young idealists crossing oceans to fight fascism in Spain, Hemingway and Orwell and the Lincoln Battalion, thirty five thousand volunteers...",,,https://news.voidvision.org/history/spanish-civil-war/,spanish-civil-war
The Srebrenica Genocide and the Bosnian War,written,queued,render,inst-voice,bm_lewis,catastrophic genocide: the gravest voice,1867,13.89,,,clean,"5 scenes, 6 rests, 3 docs, 5 accounts",F+M+N,"A safe area, the United Nations called it. A resolution passed, votes counted, the words written down: free from any armed attack. On July eleventh, nineteen ninety...",,,https://news.voidvision.org/history/srebrenica-genocide/,srebrenica-genocide
